"","trackdistm","sldistm","trackdistNm","sldistNm","lat_start","lon_start","lat_end","lon_end","mean_grnd_spd","med_grnd_spd","start_time","end_time","midoc.stn","CE","total.t","ce_duration","t.check"
"135",11306.5987282088,10837.2725740776,6.10507712948745,5.85166118728124,-57.680179,84.164604,-57.651716,84.338245,4.11743098061994,4.54899978637695,2016-02-09 00:51:59,2016-02-09 02:20:58,"MIDOC25",1,89.0333333333333,88.9999920050303,-0.0333413283030239
"136",2479.94513139978,2380.65440905694,1.33906373331523,1.28545101275116,-57.651675,84.338449,-57.644163,84.375775,2.69322793477074,2.66849994659423,2016-02-09 02:21:10,2016-02-09 02:50:59,"MIDOC25",2,29.8333333333333,29.816668788592,-0.0166645447413138
"137",2559.33081773861,2470.81388774114,1.38192859035369,1.33413325438304,-57.644123,84.376036,-57.637137,84.415302,2.78191951008867,2.75099992752075,2016-02-09 02:51:10,2016-02-09 03:20:59,"MIDOC25",3,29.8333333333333,29.8166687965393,-0.0166645367940284
"138",2681.76423037168,2580.00562705305,1.4480373685388,1.39309209836668,-57.637097,84.415551,-57.630579,84.456997,2.92557454248968,2.90899991989136,2016-02-09 03:21:11,2016-02-09 03:51:00,"MIDOC25",4,29.85,29.8333295981089,-0.0166704018910728
"139",2630.87338235996,2543.59898885933,1.42055849891894,1.37343407922752,-57.630539,84.457244,-57.624862,84.498482,2.85941466173781,2.84100008010864,2016-02-09 03:51:12,2016-02-09 04:20:59,"MIDOC25",5,29.8166666666667,29.7833327929179,-0.0333338737487807
"140",4318.54452255166,2017.75290878807,2.33182834476343,1.08949980737048,-57.62483,84.498756,-57.615816,84.528046,3.05725291696087,2.99950003623962,2016-02-09 04:21:10,2016-02-09 05:06:54,"MIDOC25",6,45.7666666666667,45.7333343903224,-0.0333322763442965
"141",15231.8131536313,14920.7305370068,8.2245241349953,8.05655289857058,-57.668918,84.78833,-57.733722,85.007352,5.49929297587082,4.81199979782104,2016-02-09 11:53:05,2016-02-09 13:22:58,"MIDOC26",1,89.9166666666667,89.8999920050303,-0.0166746616363582
"142",2356.88574484218,2290.28036260014,1.27261695612775,1.23665291374848,-57.733773,85.007555,-57.743047,85.041874,2.58296314782101,2.58800005912781,2016-02-09 13:23:10,2016-02-09 13:52:59,"MIDOC26",2,29.8333333333333,29.8333295981089,-3.73522440710872e-06
"143",2370.15261281549,2300.61852420109,1.27978049435801,1.24223507647205,-57.743113,85.042074,-57.75183,85.0771,2.59147650963508,2.58400011062622,2016-02-09 13:53:11,2016-02-09 14:22:58,"MIDOC26",3,29.8333333333333,29.7999936024348,-0.0333397308985433
"144",2397.90758603497,2332.1206293319,1.29476698643268,1.25924485865216,-57.751879,85.077319,-57.760237,85.113236,2.61713798938517,2.58350002765656,2016-02-09 14:23:10,2016-02-09 14:52:58,"MIDOC26",4,29.8333333333333,29.8166543960571,-0.0166789372762075
"145",2518.07679678201,2439.03983899985,1.35965319296003,1.31697663434684,-57.760297,85.113497,-57.768846,85.151224,2.74284434598878,2.73449993133545,2016-02-09 14:53:12,2016-02-09 15:22:57,"MIDOC26",5,29.8,29.7666575988134,-0.0333424011866228
"146",4344.79652904126,4218.20216672325,2.34600329943153,2.27764778733739,-57.768905,85.15147,-57.78252,85.217623,2.84882790112696,2.8050000667572,2016-02-09 15:23:11,2016-02-09 16:12:44,"MIDOC26",6,49.6,49.5666575988134,-0.0333424011866299
