"station.IKMT"	"start"	"mid"	"end"	"bottom.duration"	"cable.length"	"cable.angle"	"logger"	"estimated.depth"	"max.recorded.depth"	"depth.uncertainty"	"total.distance"	"avg.speed"	"down.speed"	"up.speed"	"avg.air.temp.boat"	"avg.SSS.boat"	"avg.SST.boat"	"avg.wind.boat"	"avg.atmP.boat"	"avg.speed.boat"	"avg.depth.logger"	"avg.temp.logger"	"https://protect-au.mimecast.com/s/SAcoC91Zn7frrLxAcPurP-?domain=cable.down.speed.per.mn"	"https://protect-au.mimecast.com/s/QuaAC0YZ4yFYYq4Qt3WF_8?domain=cable.up.speed.per.mn"	"longitude.mid"	"latitude.mid"
"IK2017-21"	2017-01-25 21:48:00	2017-01-25 21:53:00	2017-01-25 22:08:00	0	130	55	"nke-ipev"	74.564936725636	81.04	0.92010040382078	0.905646154871662	2.6952380952381	3.4	2.475	4.58571428571429	33.9267142857143	4.6507619047619	0	1.00822380952381	2.6952380952381	53.7995	4.576	0.433333333333333	0.144444444444444	72.05283333	-48.71142833
"IK2017-22"	2017-01-26 19:20:00	2017-01-26 20:22:00	2017-01-26 22:35:00	15	1830	60	NA	915	NA	NA	7.4261415200922	2.37091836734694	2.76031746031746	2.19075630252101	6.97959183673469	34.2094540816327	10.5624336734694	0	1.01033214285714	2.37091836734694	NA	NA	0.491935483870968	0.258474576271186	73.24296667	-45.055935
"IK2017-23"	2017-01-27 15:16:00	2017-01-27 15:50:00	2017-01-27 16:48:00	3	1200	60	"nke-ipev"	600	536.11	1.11917330398612	3.42262636533832	2.30752688172043	2.60857142857143	2.13214285714286	9.75376344086022	34.5020860215054	11.5599784946237	0	1.02025698924731	2.30752688172043	298.766703296703	11.4228571428571	0.588235294117647	0.363636363636364	74.85868667	-42.51939167
"IK2017-24"	2017-01-29 15:51:00	2017-01-29 16:22:00	2017-01-29 17:07:00	3	1200	67	"nke-ipev"	468.877354187128	522.06	0.898129246039016	2.98601294956331	2.35584415584416	2.9375	1.91395348837209	19.0818181818182	4.80906849315068	17.1478904109589	0	1.01248571428571	2.35584415584416	278.585066666667	12.3996	0.645161290322581	0.476190476190476	77.49985167	-38.53149833
"IK2017-25"	2017-01-30 15:09:00	2017-01-30 15:42:00	2017-01-30 16:38:00	0	1200	55	"nke-ipev"	688.291723621255	546.56	1.25931594632109	3.46048900494232	2.38666666666667	2.91470588235294	2.06140350877193	22.6688888888889	26.882	22.3942705882353	0	1.01557666666667	2.38666666666667	244.251477272727	13.7148863636364	0.606060606060606	0.357142857142857	79.47000333	-35.16060167
"IK2017-3"	2017-01-10 20:42:00	2017-01-10 21:21:00	2017-01-10 22:15:00	0	1550	60	"mk7-anna"	775	870	0.89080459770115	3.36302101764723	2.23191489361702	2.23	2.23818181818182	6.65744680851064	33.8231595744681	5.77986170212766	32.0659574468085	1.00758085106383	2.23191489361702	361.085106382979	3.20053191489362	0.662393162393162	0.478395061728395	51.997545	-44.99078333
"IK2017-4"	2017-01-11 10:15:00	2017-01-11 10:50:00	2017-01-11 11:42:00	0	1350	60	"mk7-anna"	675	745.5	0.905432595573441	3.3452395249149	2.34659090909091	2.34722222222222	2.35660377358491	5.17954545454545	33.8315747126437	5.28250574712644	21.3011363636364	1.02225568181818	2.34659090909091	339.697674418605	3.64011627906977	0.642857142857143	0.432692307692308	51.12468	-46.46333667
"IK2017-5"	2017-01-11 12:05:00	2017-01-11 12:19:00	2017-01-11 12:42:00	10	300	60	"mk7-anna"	150	129	1.16279069767442	1.79785017695491	2.87105263157895	2.73333333333333	2.99285714285714	5.06315789473684	33.8303684210526	5.18447368421053	21.1526315789474	1.02312105263158	2.87105263157895	78.0555555555556	4.99861111111111	0.357142857142857	0.384615384615385	51.05503	-46.49440167
"IK2017-6"	2017-01-13 04:53:00	2017-01-13 05:38:00	2017-01-13 06:50:00	0	1800	60	NA	900	NA	NA	4.37873068224235	2.30169491525424	2.80434782608696	1.99178082191781	5.27796610169491	33.8526146788991	4.14871559633028	27.4838983050847	1.01155847457627	2.30169491525424	NA	NA	0.666666666666667	0.416666666666667	51.83916167	-48.82242167
"IK2017-7"	2017-01-13 07:05:00	2017-01-13 07:17:00	2017-01-13 07:47:00	19	300	50	NA	192.836282905962	NA	NA	1.72125779226894	2.51627906976744	2.92307692307692	2.425	5.70697674418605	33.8462558139535	4.29006976744186	28.0279069767442	1.00961860465116	2.51627906976744	NA	NA	0.416666666666667	0.454545454545455	51.90175167	-48.78157833
"IK2017-8"	2017-01-14 19:44:00	2017-01-14 19:50:00	2017-01-14 20:09:00	15	120	60	NA	60	NA	NA	1.0618152224195	2.7	2.55714285714286	2.48	3.57307692307692	34.0103846153846	3.13826923076923	24.3653846153846	0.998626923076923	2.7	NA	NA	0.333333333333333	0.5	51.99468	-54.98146667
"IK2017-9"	2017-01-14 20:24:00	2017-01-14 21:19:00	2017-01-14 22:38:00	4	1790	65	NA	756.486688515852	NA	NA	5.21284844346939	2.41111111111111	2.80714285714286	2.125	3.58666666666667	34.0123851851852	3.09565925925926	24.2303703703704	0.998877037037037	2.41111111111111	NA	NA	0.542424242424242	0.397777777777778	51.971825	-54.91716333
